Line;Name;names.bridges;latitude;longitude;bridge_part;material ;condition;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15
260;PU Busswil;PU Busswil;47.09840789;7.31874849;abutment;concrete;1.00;0.94;0.88;0.83;0.78;0.73;0.69;0.65;0.61;0.57;0.61;0.63;0.63;0.62;0.59;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;abutment;concrete;0.00;0.06;0.11;0.15;0.18;0.21;0.23;0.25;0.26;0.27;0.03;0.09;0.14;0.18;0.22;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;abutment;concrete;0.00;0.00;0.01;0.02;0.03;0.04;0.06;0.07;0.08;0.09;0.00;0.01;0.02;0.03;0.05;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;abutment;concrete;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.03;0.05;0.07;0.00;0.00;0.00;0.01;0.01;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.99;0.90;0.82;0.75;0.68;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.10;0.17;0.22;0.27;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.04;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;bearings;concrete;1.00;0.76;0.58;0.44;0.33;0.25;0.18;0.14;0.10;0.07;0.00;0.00;0.00;0.00;0.01;
260;PU Busswil;PU Busswil;47.09840789;7.31874849;bearings;concrete;0.00;0.24;0.42;0.56;0.67;0.75;0.82;0.86;0.90;0.93;0.00;0.00;0.00;0.00;0.00;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;abutment;concrete;1.00;0.99;0.97;0.96;0.94;0.93;0.91;0.90;0.89;0.87;0.86;0.85;0.84;0.82;0.81;
260;PU Lyss;PU Lyss;47.0764032;7.307416742;abutment;concrete;0.00;0.01;0.03;0.04;0.05;0.05;0.06;0.06;0.07;0.07;0.07;0.07;0.07;0.08;0.08;
